pyroCb_id,pyroCb_date_utc,pyroCb_time_utc,pyroCb_longitude,pyroCb_latitude,country,region,satellite,wildfire_id,wildfire_ini_date_utc,wildfire_end_date_utc,length_days,wildfire_centroid_longitude,wildfire_centroid_latitude,extract_longitude,extract_latitude,extract_ini_date_utc,extract_end_date_utc,time_zone,length_fire
244,2021-09-09,2200.0,-120.613,42.277,US,Southern Oregon,GOES,,,,,,,-120.613,42.277,2021-09-06 07:00:00+00:00,2021-09-12 07:00:00+00:00,America/Los_Angeles,6
196,2021-07-09,2120.0,-120.368,39.875,US,California,GOES,,,,,,,-120.368,39.875,2021-07-06 07:00:00+00:00,2021-07-12 07:00:00+00:00,America/Los_Angeles,6
163,2018-07-15,2300.0,-119.881,37.652,US,California,GOES,21121935,2018-07-12,2018-08-15,34,-119.8068567437455,37.62912657202743,-119.8068567437455,37.62912657202743,2018-07-12 07:00:00+00:00,2018-08-15 07:00:00+00:00,America/Los_Angeles,34
225,2021-08-01,20.0,-119.8,50.4,Canada,British Columbia,GOES,,,,,,,-119.8,50.4,2021-07-29 07:00:00+00:00,2021-08-04 07:00:00+00:00,America/Vancouver,6
214,2021-07-19,2140.0,-118.89,49.2,US,Northern Washington,GOES,,,,,,,-118.89,49.2,2021-07-16 07:00:00+00:00,2021-07-22 07:00:00+00:00,America/Vancouver,6
223,2021-07-30,2300.0,-118.89,49.2,US,Northern Washington,GOES,,,,,,,-118.89,49.2,2021-07-27 07:00:00+00:00,2021-08-02 07:00:00+00:00,America/Vancouver,6
250,2021-10-04,1725.0,-118.811,36.567,US,California,GOES,,,,,,,-118.811,36.567,2021-10-01 07:00:00+00:00,2021-10-07 07:00:00+00:00,America/Los_Angeles,6
267,2019-08-19,20000.0,-118.624,47.98,US,Washington,GOES,22395267,2019-08-09,2019-08-20,11,-116.88603112667832,47.41562499572037,-116.88603112667832,47.41562499572037,2019-08-09 07:00:00+00:00,2019-08-20 07:00:00+00:00,America/Los_Angeles,11
247,2021-09-24,1330.0,-118.5,35.9,US,California,GOES,,,,,,,-118.5,35.9,2021-09-21 07:00:00+00:00,2021-09-27 07:00:00+00:00,America/Los_Angeles,6
228,2021-08-05,,-117.38,44.5,US,Eastern Oregon,GOES,,,,,,,-117.38,44.5,2021-08-02 07:00:00+00:00,2021-08-08 07:00:00+00:00,America/Los_Angeles,6
164,2018-07-25,2100.0,-116.8,33.72,US,California,GOES,21122094,2018-07-25,2018-08-03,9,-116.69917954493611,33.71531064666969,-116.69917954493611,33.71531064666969,2018-07-25 07:00:00+00:00,2018-08-03 07:00:00+00:00,America/Los_Angeles,9
226,2021-08-01,400.0,-115.5,47.2,Canada,British Columbia,GOES,,,,,,,-115.5,47.2,2021-07-29 07:00:00+00:00,2021-08-04 07:00:00+00:00,America/Los_Angeles,6
245,2021-09-09,2200.0,-115.329,44.532,US,Central Idaho,GOES,,,,,,,-115.329,44.532,2021-09-06 06:00:00+00:00,2021-09-12 06:00:00+00:00,America/Boise,6
263,2022-06-25,1900.0,-115.3,62.0,Canada,Great Slave Lake,GOES,,,,,,,-115.3,62.0,2022-06-22 06:00:00+00:00,2022-06-28 06:00:00+00:00,America/Yellowknife,6
206,2021-07-16,,-113.854,45.683,US,southwest Montana,GOES,,,,,,,-113.854,45.683,2021-07-13 06:00:00+00:00,2021-07-19 06:00:00+00:00,America/Denver,6
181,2021-06-19,2200.0,-113.8,37.7,US,UTAH,GOES,,,,,,,-113.8,37.7,2021-06-16 06:00:00+00:00,2021-06-22 06:00:00+00:00,America/Denver,6
233,2021-08-06,,-111.356,46.553,US,Central Montana,GOES,,,,,,,-111.356,46.553,2021-08-03 06:00:00+00:00,2021-08-09 06:00:00+00:00,America/Denver,6
180,2021-06-15,200.0,-111.09,33.209,US,Arizona,GOES,,,,,,,-111.09,33.209,2021-06-12 07:00:00+00:00,2021-06-18 07:00:00+00:00,America/Phoenix,6
184,2021-06-21,2300.0,-111.061,34.366,US,Eastern Arizona,GOES,,,,,,,-111.061,34.366,2021-06-18 07:00:00+00:00,2021-06-24 07:00:00+00:00,America/Phoenix,6
232,2021-08-06,,-111.0,46.7,US,Montana,GOES,,,,,,,-111.0,46.7,2021-08-03 06:00:00+00:00,2021-08-09 06:00:00+00:00,America/Denver,6
198,2021-07-11,220.0,-110.3,57.6,Canada,Alberta,GOES,,,,,,,-110.3,57.6,2021-07-08 06:00:00+00:00,2021-07-14 06:00:00+00:00,America/Edmonton,6
185,2021-06-21,2300.0,-109.392,33.458,US,Eastern Arizona,GOES,,,,,,,-109.392,33.458,2021-06-18 07:00:00+00:00,2021-06-24 07:00:00+00:00,America/Phoenix,6
179,2021-05-30,2100.0,-108.6,33.3,US,New Mexico,GOES,,,,,,,-108.6,33.3,2021-05-27 06:00:00+00:00,2021-06-02 06:00:00+00:00,America/Denver,6
256,2022-05-17,26.0,-107.918,33.304,US,New Mexico,GOES,,,,,,,-107.918,33.304,2022-05-14 06:00:00+00:00,2022-05-20 06:00:00+00:00,America/Denver,6
162,2018-06-09,2200.0,-107.808,37.461,US,Colorado,GOES,20981924,2018-05-30,2018-06-22,23,-107.88261658468363,37.4736599392361,-107.88261658468363,37.4736599392361,2018-05-30 06:00:00+00:00,2018-06-22 06:00:00+00:00,America/Denver,23
257,2022-05-17,2300.0,-107.1,37.1,US,Colorado,GOES,,,,,,,-107.1,37.1,2022-05-14 06:00:00+00:00,2022-05-20 06:00:00+00:00,America/Denver,6
255,2022-04-22,2330.0,-105.4,35.8,US,New Mexico,GOES,,,,,,,-105.4,35.8,2022-04-19 06:00:00+00:00,2022-04-25 06:00:00+00:00,America/Denver,6
262,2022-06-16,2030.0,-105.2,36.2,US,New Mexico,GOES,,,,,,,-105.2,36.2,2022-06-13 06:00:00+00:00,2022-06-19 06:00:00+00:00,America/Denver,6
